link,name,organization,date,location,killed,type_of_death,
https://cpj.org/data/people/abadullah-hananzai/,Abadullah Hananzai,"Radio Azadi,Radio Free Europe/Radio Liberty","April 30, 2018",Afghanistan,Killed,Murder,
https://cpj.org/data/people/abay-hailu/,Abay Hailu,Agiere,"February 9, 1998",Ethiopia,Killed,Dangerous Assignment,
https://cpj.org/data/people/abd-al-karim-al-ezzo/,Abd al-Karim al-Ezzo,Freelance,"December 21, 2012",Syria,Killed,Crossfire,
https://cpj.org/data/people/abdallah-bouhachek/,Abdallah Bouhachek,Révolution et Travail,"February 10, 1996",Algeria,Killed,Murder,
https://cpj.org/data/people/abdel-aziz-mahmoud-hasoun/,Abdel Aziz Mahmoud Hasoun,Masar Press,"September 5, 2013",Syria,Killed,Crossfire,
https://cpj.org/data/people/abdel-karim-al-oqda/,Abdel Karim al-Oqda,Shaam News Network,"September 19, 2012",Syria,Killed,Murder,
https://cpj.org/data/people/abdel-karim-al-rubai/,Abdel Karim al-Rubai,Al-Sabah,"September 9, 2006",Iraq,Killed,Murder,
https://cpj.org/data/people/abdel-karim-nazir-ismail/,Abdel Karim Nazir Ismail,Freelance,"January 31, 2013",Syria,Killed,Crossfire,
https://cpj.org/data/people/abdel-sattar-abdel-karim/,Abdel Sattar Abdel Karim,Al Ta'akhy,"February 1, 2004",Iraq,Killed,Crossfire,
https://cpj.org/data/people/abdelhamid-benmeni/,Abdelhamid Benmeni,Algérie-Actualité,"August 9, 1993",Algeria,Killed,Murder,
https://cpj.org/data/people/abdelhamid-yahiaoui/,Abdelhamid Yahiaoui,El-Chaab,"January 12, 1995",Algeria,Killed,Murder,
https://cpj.org/data/people/abdelkader-hireche/,Abdelkader Hireche,Algerian Television (ENTV),"February 28, 1994",Algeria,Killed,Murder,
https://cpj.org/data/people/abdelqadir-fassouk/,Abdelqadir Fassouk,Arraed Satellite TV,"July 21, 2016",Libya,Killed,Crossfire,
https://cpj.org/data/people/abderrahmane-chergou/,Abderrahmane Chergou,Freelance,"September 28, 1993",Algeria,Killed,Murder,
https://cpj.org/data/people/abdiaziz-ali/,Abdiaziz Ali,Radio Shabelle,"September 27, 2016",Somalia,Killed,Murder,
https://cpj.org/data/people/abdiaziz-mohamud-guled/,Abdiaziz Mohamud Guled,Radio Mogadishu,"November 20, 2021",Somalia,Killed,Murder,
https://cpj.org/data/people/abdihared-osman-aden/,Abdihared Osman Aden,Shabelle Media Network,"January 18, 2013",Somalia,Killed,Murder,
https://cpj.org/data/people/abdinasir-abdulle-gaal/,Abdinasir Abdulle Ga’al,Somali National Army Radio,"August 14, 2019",Somalia,Killed,Dangerous Assignment,
https://cpj.org/data/people/abdirahman-yasin-ali/,Abdirahman Yasin Ali,Radio Hamar,"September 20, 2012",Somalia,Killed,Murder,
https://cpj.org/data/people/abdirisak-mohamed-warsame/,Abdirisak Mohamed Warsame,Radio Shabelle,"May 22, 2009",Somalia,Killed,Crossfire,
https://cpj.org/data/people/abdirizak-ali-abdi/,Abdirizak Ali Abdi,"Radio Daljir,Horn Cable TV","November 16, 2014",Somalia,Killed,Murder,
https://cpj.org/data/people/abdisalan-sheikh-hassan/,Abdisalan Sheikh Hassan,Freelance,"December 18, 2011",Somalia,Killed,Murder,
https://cpj.org/data/people/abdisatar-daher-sabriye/,Abdisatar Daher Sabriye,Radio Mogadishu,"September 20, 2012",Somalia,Killed,Murder,
https://cpj.org/data/people/abdiwali-ali-hassan/,Abdiwali Ali Hassan,"Freelance; Universal TV,  Radio Kulmiye","February 16, 2020",Somalia,Killed,Murder,
https://cpj.org/data/people/abdul-aziz-shaheen/,Abdul Aziz Shaheen,Azadi,"August 29, 2008",Pakistan,Killed,Crossfire,
https://cpj.org/data/people/abdul-hakim-shimul/,Abdul Hakim Shimul,Samakal,"February 3, 2017",Bangladesh,Killed,Dangerous Assignment,
https://cpj.org/data/people/abdul-hameed-al-yousef/,Abdul Hameed al-Yousef,Kafr Rumah Media Office,"November 10, 2019",Syria,Killed,Crossfire,
https://cpj.org/data/people/abdul-haq-baloch/,Abdul Haq Baloch,ARY Television,"September 29, 2012",Pakistan,Killed,Murder,
https://cpj.org/data/people/abdul-manan-arghand/,Abdul Manan Arghand,Kabul News,"April 25, 2018",Afghanistan,Killed,Murder,
https://cpj.org/data/people/abdul-nasser-haj-hamdan/,Abdul Nasser Haj Hamdan,Media Office in Binnish,"February 20, 2020",Syria,Killed,Crossfire,
https://cpj.org/data/people/abdul-qadir-hajizai/,Abdul Qadir Hajizai,WASH TV,"May 28, 2012",Pakistan,Killed,Murder,
https://cpj.org/data/people/abdul-qodus/,Abdul Qodus,Aryana TV,"July 22, 2006",Afghanistan,Killed,Dangerous Assignment,
https://cpj.org/data/people/abdul-raheem-kour-hassan/,Abdul Raheem Kour Hassan,Watan FM,Unknown in 2013,Syria,Killed,Dangerous Assignment,
https://cpj.org/data/people/abdul-rahman-ismael-yassin/,Abdul Rahman Ismael Yassin,Hammouriyeh Media Office,"February 20, 2018",Syria,Killed,Crossfire,
https://cpj.org/data/people/abdul-razzak-johra/,Abdul Razzak Johra,Royal TV,"November 3, 2008",Pakistan,Killed,Murder,
